Time(s),Power(W)
0.1,616.875
3.4333333333333336,616.875
3.6,616.875
3.7666666666666666,616.875
3.9333333333333336,616.875
4.1,616.875
4.266666666666667,616.875
4.433333333333333,616.875
4.6,616.875
4.766666666666667,616.875
4.933333333333333,616.875
5.1,616.875
5.266666666666667,616.875
5.433333333333333,616.875
5.6,616.875
5.766666666666667,616.875
5.933333333333333,616.875
6.1,616.875
6.266666666666667,616.875
6.433333333333333,616.875
6.6,616.875
6.766666666666667,616.875
6.933333333333333,616.875
7.1,616.875
7.266666666666667,616.875
7.433333333333333,616.875
7.6,616.875
7.766666666666667,616.875
7.933333333333333,616.875
8.1,616.875
8.266666666666666,616.875
78.32666666666667,616.875
78.32708333333333,616.875
78.32916666666667,616.875
78.32958333333333,616.875
78.33208333333333,616.875
78.49291666666666,616.875
78.49333333333333,616.875
78.49541666666666,616.875
78.49583333333332,616.875
78.49833333333333,616.875
78.65916666666666,616.875
78.65958333333333,616.875
78.66166666666666,616.875
78.66208333333333,616.875
78.66458333333333,616.875
78.76791666666666,616.875
78.82583333333332,616.875
78.82791666666667,616.875
78.82833333333333,616.875
78.83083333333333,616.875
78.83333333333333,616.875
78.93416666666667,616.875
78.99416666666666,616.875
78.99458333333332,616.875
78.99666666666666,616.875
78.99708333333332,616.875
78.99958333333333,616.875
79.16041666666666,616.875
79.16083333333333,616.875
79.16291666666666,616.875
79.16333333333333,616.875
79.16583333333332,616.875
79.26083333333332,616.875
79.26666666666667,616.875
79.27041666666666,616.875
79.37083333333332,616.875
79.48083333333332,616.875
82.54,616.875
83.02000000000001,616.875
83.13000000000001,616.875
83.24000000000001,616.875
121.42708333333334,616.875
121.66770833333334,616.875
6.533221875878916E10,616.875
6.5332218759454994E10,616.875
1.2297829407038E11,616.875
1.2297829407049E11,616.875
1.7293822601521582E11,616.875
1.729382260153258E11,616.875
2.1713355043514102E11,616.875
2.17133550435251E11,616.875
2.5364273148362476E11,616.875
2.5364273148373474E11,616.875
2.824657691581691E11,616.875
2.824657691582791E11,616.875
3.0360266345627203E11,616.875
3.03602663456382E11,616.875
3.189749502210287E11,616.875
3.189749502211387E11,616.875
3.26661093604657E11,600.0
